Kód obce,Název obce,Voliči v seznamu,Vydané obálky,Platné hlasy,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
563901,Bílá,718,452,449,0,0,23,1,30,1,71,7,5,51,37,1
563919,Bílý Kostel nad Nisou,785,523,518,0,1,49,0,24,4,138,12,3,34,9,7
546631,Bílý Potok,571,273,272,1,0,15,0,19,0,28,0,7,27,21,1
563935,Bulovka,694,307,307,0,0,44,0,15,5,40,3,0,14,27,0
563943,Cetenov,90,59,59,0,0,3,0,6,0,10,0,0,4,2,0
545996,Černousy,255,122,121,0,0,15,0,8,1,15,0,2,3,5,0
563960,Český Dub,2127,1338,1331,4,0,120,3,117,4,184,35,20,142,78,3
544531,Čtveřín,401,261,258,0,2,11,1,22,3,34,3,2,34,11,0
546607,Dětřichov,540,282,281,2,0,28,0,12,3,50,6,1,12,13,0
530468,Dlouhý Most,697,442,442,0,0,28,3,43,5,61,8,10,50,21,1
563994,Dolní Řasnice,415,229,227,0,0,17,0,19,1,34,1,2,15,8,0
564028,Frýdlant,5968,3326,3306,4,0,270,8,409,25,346,30,39,237,242,2
564036,Habartice,385,238,237,0,0,24,0,8,0,41,1,1,9,15,0
564044,Hejnice,2224,1280,1264,0,0,79,4,102,9,242,15,19,93,88,2
544353,Heřmanice,229,158,157,0,0,18,0,17,0,35,1,1,7,7,0
564052,Hlavice,193,147,147,0,0,21,0,13,1,16,1,5,13,13,0
564061,Hodkovice nad Mohelkou,2251,1416,1408,0,0,96,0,124,16,144,11,23,173,86,2
564079,Horní Řasnice,184,99,99,0,1,14,1,2,1,26,0,1,6,8,0
564095,Hrádek nad Nisou,6087,3449,3432,4,1,270,2,164,21,982,30,25,197,136,4
564109,Chotyně,782,466,464,0,0,33,1,18,3,142,6,3,25,15,0
564117,Chrastava,4913,2836,2816,5,1,178,5,195,24,625,36,17,263,152,16
561631,Jablonné v Podještědí,2901,1666,1652,1,0,147,2,114,15,218,11,13,163,104,5
561657,Janovice v Podještědí,85,66,65,0,0,6,0,0,0,10,0,0,5,2,0
546658,Janův Důl,130,98,98,0,0,5,0,15,3,19,0,0,7,4,0
530484,Jeřmanice,395,259,257,1,0,7,0,23,2,43,2,8,31,5,0
564133,Jindřichovice pod Smrkem,527,275,274,0,0,31,0,15,0,109,3,6,22,7,0
564141,Kobyly,285,194,192,0,0,5,0,11,2,41,6,2,21,16,0
564168,Krásný Les,390,234,232,0,0,17,0,19,4,45,2,3,13,13,0
564176,Kryštofovo Údolí,272,215,215,0,0,4,0,20,1,37,4,3,26,7,0
564184,Křižany,673,400,397,0,0,28,0,43,1,49,5,7,30,20,0
530433,Kunratice,298,181,179,0,0,17,0,3,1,50,0,0,4,13,5
564206,Lázně Libverda,423,270,268,0,0,22,0,22,1,23,2,2,25,19,0
545937,Lažany,185,134,129,0,0,16,0,16,2,11,0,2,18,21,0
564231,Mníšek,1170,740,733,0,2,62,1,87,1,111,7,10,68,38,1
546593,Nová Ves,696,379,378,1,0,27,2,30,5,44,10,4,31,12,0
564265,Nové Město pod Smrkem,2959,1387,1377,1,0,162,1,122,13,152,15,13,83,98,2
564281,Oldřichov v Hájích,564,362,360,0,2,19,0,18,6,47,4,12,39,14,1
564290,Osečná,920,596,591,1,0,49,0,37,2,57,13,6,51,73,3
545953,Paceřice,261,184,183,0,0,15,0,13,3,41,2,1,16,14,0
564303,Pěnčín,536,431,431,0,1,31,0,45,2,54,14,7,34,28,1
564311,Pertoltice,223,107,106,0,0,19,0,9,2,17,4,1,4,3,0
544345,Proseč pod Ještědem,300,217,216,0,0,19,1,17,2,24,5,1,32,10,0
564354,Příšovice,1030,654,645,0,0,45,1,68,7,69,4,5,60,40,0
544582,Radimovice,252,192,192,1,0,5,1,31,1,35,4,0,32,6,0
564371,Raspenava,2288,1202,1195,0,0,113,2,71,2,154,13,14,80,79,2
564397,Rynoltice,636,387,386,0,1,45,0,26,7,74,5,4,44,11,2
564401,Soběslavice,128,83,83,0,0,0,0,17,0,7,8,2,12,4,0
544477,Stráž nad Nisou,1807,1222,1215,1,2,65,7,135,11,166,26,18,126,53,5
564427,Světlá pod Ještědem,769,549,545,0,2,26,1,59,7,85,9,7,78,11,0
564435,Svijanský Újezd,344,237,237,0,0,10,0,28,2,30,3,1,32,22,0
564443,Svijany,244,159,158,0,0,3,0,19,0,29,4,1,9,14,0
564451,Sychrov,167,108,106,1,0,1,0,16,0,34,0,2,13,3,0
564460,Šimonovice,850,627,625,0,0,20,1,99,2,102,12,10,72,30,0
564494,Višňová,1102,598,591,1,0,96,0,40,4,91,1,2,31,42,1
564516,Vlastibořice,257,193,193,0,0,12,0,20,10,24,5,2,28,8,2
564532,Všelibice,465,290,289,1,0,30,0,22,2,20,2,2,33,22,0
564541,Zdislava,228,131,126,0,0,8,0,8,0,18,0,1,12,10,0
544604,Žďárek,128,87,87,0,0,3,0,17,0,15,0,2,21,2,0
